facility_id,facility_name,facility_type,district,latitude,longitude,gwl_value,rainfall_value,river_level_value,temperature_value,humidity_value,wind_speed_value,dist_to_river_km,rolling_rain_3d,river_anomaly,heat_stress,moisture_risk,storm_risk,storage_flag,crs,risk_level,last_updated,load_stress,water_availability,flood_safety,rainfall_stability,electricity_reliability
node/6957120057,Subham Hospital and Maternity Home,Hospital,RAIPUR,21.2599874,81.6282919,-6.336,0.5,277.637,20.5,76.37,40.0,18.68774165949676,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6957120062,Subba Rao Hospital,Hospital,RAIPUR,21.2570692,81.6373428,-6.336,0.5,277.637,20.5,76.37,40.0,18.670440086120035,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6957120067,Srimaa Sarada Arogyadham,Hospital,RAIPUR,21.2308046,81.5954804,-6.336,0.5,277.637,20.5,76.37,40.0,14.79375149500088,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6957120077,Sobhagya Hospital,Hospital,RAIPUR,21.2740474,81.6335745,-6.336,0.5,277.637,20.5,76.37,40.0,20.342470637830054,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6957120082,"Shri Ram Hospital, Raipur",Hospital,RAIPUR,21.2361049,81.6117065,-6.336,0.5,277.637,20.5,76.37,40.0,15.677723641909925,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6957133287,Shri Balaji Institute Of Medical Science Pvt Ltd,Hospital,RAIPUR,21.2724251,81.6717492,-6.336,0.5,277.637,20.5,76.37,40.0,21.65559161272053,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6957503647,"Pathak Hospital, Raipur",Hospital,RAIPUR,21.264633,81.6358182,-6.336,0.5,277.637,20.5,76.37,40.0,19.41448699691708,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6957503652,Gbg Kidney Care Hospital,Hospital,RAIPUR,21.2259317,81.6585526,-6.336,0.5,277.637,20.5,76.37,40.0,16.46728100872909,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965495354,Modi Hospital,Hospital,RAIPUR,21.2462123,81.6186909,-6.336,0.5,277.637,20.5,76.37,40.0,16.943863017401323,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965495359,Jagjivan Urology Centre,Hospital,RAIPUR,21.2461698,81.6239078,-6.336,0.5,277.637,20.5,76.37,40.0,17.08552977031182,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965495374,Sahai Hospital,Hospital,RAIPUR,21.2230452,81.656616,-6.336,0.5,277.637,20.5,76.37,40.0,16.088784816732165,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965495384,"Pragya Hospital, Raipur",Hospital,RAIPUR,21.2443828,81.6601836,-6.336,0.5,277.637,20.5,76.37,40.0,18.3365297911126,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965497689,P D Jethani Memorial Hospital and Diagnostic Center,Hospital,RAIPUR,21.2789978,81.6376406,-6.336,0.5,277.637,20.5,76.37,40.0,20.992574494437086,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965497699,Nigam Ent Hospital,Hospital,RAIPUR,21.2472973,81.6568963,-6.336,0.5,277.637,20.5,76.37,40.0,18.467545414091664,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965497709,Ganpati Hospital (Banthia Hospital),Hospital,RAIPUR,21.2458836,81.6474972,-6.336,0.5,277.637,20.5,76.37,40.0,17.907495225200716,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965497714,"Yashwant Hospital, Raipur",Hospital,RAIPUR,21.2399062,81.62751,-6.336,0.5,277.637,20.5,76.37,40.0,16.533794830633486,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965497719,"Tripathi Hospital, Raipur",Hospital,RAIPUR,21.2495084,81.6579813,-6.336,0.5,277.637,20.5,76.37,40.0,18.737720786737725,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965497724,Jeewan Memorial Hospital For Plastic Surgery and Uro,Hospital,RAIPUR,21.2496099,81.6580936,-6.336,0.5,277.637,20.5,76.37,40.0,18.753029704726842,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965497729,Om Netra Kendra,Hospital,RAIPUR,21.2487035,81.6448975,-6.336,0.5,277.637,20.5,76.37,40.0,18.087419083678384,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965497734,Roopjeevan Hospital,Hospital,RAIPUR,21.2567003,81.6410096,-6.336,0.5,277.637,20.5,76.37,40.0,18.763009631135493,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965497739,Jubesta Hospital,Hospital,RAIPUR,21.257246,81.6435068,-6.336,0.5,277.637,20.5,76.37,40.0,18.912707198964448,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965497744,"Jain Hospital, Raipur",Hospital,RAIPUR,21.2559026,81.6448666,-6.336,0.5,277.637,20.5,76.37,40.0,18.82600723148675,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965497749,Dr. Rajehwari Kulkarni Surgical Hospital And Dia,Hospital,RAIPUR,21.2573909,81.6466855,-6.336,0.5,277.637,20.5,76.37,40.0,19.05035440968953,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965497759,Ekta Institute Of Child Health,Hospital,RAIPUR,21.2471211,81.6566214,-6.336,0.5,277.637,20.5,76.37,40.0,18.43725217723442,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965834116,Ayush Hospital and Maternity Home,Hospital,RAIPUR,21.2623121,81.6739498,-6.336,0.5,277.637,20.5,76.37,40.0,20.769578803736913,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965834121,Ayushman Hospital and Diagnostic Institute,Hospital,RAIPUR,21.2345823,81.6097793,-6.336,0.5,277.637,20.5,76.37,40.0,15.467794399515745,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965834122,Bachpan Hospital,Hospital,RAIPUR,21.2293683,81.6000053,-6.336,0.5,277.637,20.5,76.37,40.0,14.704392298119954,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965834136,Bhattar Hospital,Hospital,RAIPUR,21.242349,81.6395467,-6.336,0.5,277.637,20.5,76.37,40.0,17.222186517819633,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965834146,City Hospital And Research Centre,Hospital,RAIPUR,21.2465523,81.6100636,-6.336,0.5,277.637,20.5,76.37,40.0,16.774694016279092,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965834156,Devkripa Hospital and Doctor Plaza,Hospital,RAIPUR,21.2510058,81.6685317,-6.336,0.5,277.637,20.5,76.37,40.0,19.398112933430276,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965834161,Dr. Jaulkar Ent Hospital,Hospital,RAIPUR,21.2471581,81.6123417,-6.336,0.5,277.637,20.5,76.37,40.0,16.89038420444015,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965834166,Dr. Sandeep Bhagwat Orthopedic Hospital,Hospital,RAIPUR,21.2491114,81.6453123,-6.336,0.5,277.637,20.5,76.37,40.0,18.145956437165584,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965834176,Eye and Ent Hospital,Hospital,RAIPUR,21.2495993,81.6461378,-6.336,0.5,277.637,20.5,76.37,40.0,18.22942198550889,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965834177,"Heritage Hospital, Raipur",Hospital,RAIPUR,21.2604399,81.6429824,-6.336,0.5,277.637,20.5,76.37,40.0,19.2243393304369,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965834182,Jyoti Hospital and Prasuti Griha,Hospital,RAIPUR,21.5563958,81.8090755,-6.495,1.0,286.786,20.5,76.37,40.0,17.678868281181657,1.0,-2.375158372318481,0,0,0,1,0.3943011502265597,High,2026-03-14 02:31:42,22.082694318577897,-6.495,-286.786,-2.375158372318481,1.0
node/6965836187,K G N Surical and Maternity Centre,Hospital,RAIPUR,21.2342586,81.645458,-6.336,0.5,277.637,20.5,76.37,40.0,16.64475124891032,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
