facility_id,facility_name,facility_type,district,crs,risk_level,last_updated
node/6965497734,Roopjeevan Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965497739,Jubesta Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965497744,"Jain Hospital, Raipur",Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965834177,"Heritage Hospital, Raipur",Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965834176,Eye and Ent Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965834166,Dr. Sandeep Bhagwat Orthopedic Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965836187,K G N Surical and Maternity Centre,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965836202,Mahadev Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965836211,Mishra Speciality Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965836192,K.M. Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965836197,M. M. Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965836221,M D Hospital and Iccu,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965836216,Matra Smriti Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6966551463,Suprita Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6966792010,Lifeworth Super Speciality Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965834161,Dr. Jaulkar Ent Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965497759,Ekta Institute Of Child Health,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965834116,Ayush Hospital and Maternity Home,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965834121,Ayushman Hospital and Diagnostic Institute,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964644,We Care Super Specialty Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6966904976,Agrasen Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6966904930,"Sahu Hospital, Raipur",Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6966904907,Shri Manulal Memorial Medical Centre,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6968280856,Arihant Netralaya,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6968280774,"Sanjeewan Hospital, Raipur",Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6968280740,"Kanwar Hospital, Raipur",Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6968280745,Raipur Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7148125258,Shri Khudadad Dungaji Government Ayurved College Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7148125099,Govt. T.B. Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7148125202,"Government hospital,Khokhopara",Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7148125255,District Hospital Raipur,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7148125312,Labhandhi Government Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7148125308,Government Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964595,Shri Balaji Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964599,Jeevan Anmol Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964664,Anand Shree Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
