facility_id,facility_name,facility_type,district,latitude,longitude,type_multiplier,pred_outage_prob_24h,crs,risk_level,priority_score,predicted_risk_label
node/6965497719,"Tripathi Hospital, Raipur",Hospital,RAIPUR,21.2495084,81.6579813,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965497724,Jeewan Memorial Hospital For Plastic Surgery and Uro,Hospital,RAIPUR,21.2496099,81.6580936,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965497729,Om Netra Kendra,Hospital,RAIPUR,21.2487035,81.6448975,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965497734,Roopjeevan Hospital,Hospital,RAIPUR,21.2567003,81.6410096,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965497739,Jubesta Hospital,Hospital,RAIPUR,21.257246,81.6435068,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965497744,"Jain Hospital, Raipur",Hospital,RAIPUR,21.2559026,81.6448666,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965497749,Dr. Rajehwari Kulkarni Surgical Hospital And Dia,Hospital,RAIPUR,21.2573909,81.6466855,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965497759,Ekta Institute Of Child Health,Hospital,RAIPUR,21.2471211,81.6566214,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965834116,Ayush Hospital and Maternity Home,Hospital,RAIPUR,21.2623121,81.6739498,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965834121,Ayushman Hospital and Diagnostic Institute,Hospital,RAIPUR,21.2345823,81.6097793,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965834122,Bachpan Hospital,Hospital,RAIPUR,21.2293683,81.6000053,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965834136,Bhattar Hospital,Hospital,RAIPUR,21.242349,81.6395467,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965834146,City Hospital And Research Centre,Hospital,RAIPUR,21.2465523,81.6100636,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965834156,Devkripa Hospital and Doctor Plaza,Hospital,RAIPUR,21.2510058,81.6685317,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965834161,Dr. Jaulkar Ent Hospital,Hospital,RAIPUR,21.2471581,81.6123417,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965834166,Dr. Sandeep Bhagwat Orthopedic Hospital,Hospital,RAIPUR,21.2491114,81.6453123,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965834176,Eye and Ent Hospital,Hospital,RAIPUR,21.2495993,81.6461378,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965834177,"Heritage Hospital, Raipur",Hospital,RAIPUR,21.2604399,81.6429824,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965836187,K G N Surical and Maternity Centre,Hospital,RAIPUR,21.2342586,81.645458,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965836192,K.M. Hospital,Hospital,RAIPUR,21.2438524,81.6384199,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965836197,M. M. Hospital,Hospital,RAIPUR,21.2605318,81.6367264,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965836202,Mahadev Hospital,Hospital,RAIPUR,21.2294448,81.597827,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965836211,Mishra Speciality Hospital,Hospital,RAIPUR,21.2615844,81.6380407,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965836216,Matra Smriti Hospital,Hospital,RAIPUR,21.2686163,81.6197897,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965836221,M D Hospital and Iccu,Hospital,RAIPUR,21.2465873,81.6236986,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6966551463,Suprita Hospital,Hospital,RAIPUR,21.2564347,81.6388497,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6966792010,Lifeworth Super Speciality Hospital,Hospital,RAIPUR,21.2456986,81.6175885,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6966904907,Shri Manulal Memorial Medical Centre,Hospital,RAIPUR,21.2363311,81.6213289,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6966904930,"Sahu Hospital, Raipur",Hospital,RAIPUR,21.2554704,81.6406797,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6966904976,Agrasen Hospital,Hospital,RAIPUR,21.2454224,81.6245992,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6968263373,Pt.J N M Medical College Hospital,Hospital,RAIPUR,21.251975,81.6391427,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6968280740,"Kanwar Hospital, Raipur",Hospital,RAIPUR,21.2532719,81.6651843,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6968280745,Raipur Hospital,Hospital,RAIPUR,21.2468461,81.6415286,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6968280774,"Sanjeewan Hospital, Raipur",Hospital,RAIPUR,21.2208074,81.6410136,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6968280856,Arihant Netralaya,Hospital,RAIPUR,21.2359599,81.6381209,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7148125099,Govt. T.B. Hospital,Hospital,RAIPUR,21.2346921,81.6389363,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7148125202,"Government hospital,Khokhopara",Hospital,RAIPUR,21.23239,81.6223248,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7148125255,District Hospital Raipur,Hospital,RAIPUR,21.2317387,81.6401796,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7148125258,Shri Khudadad Dungaji Government Ayurved College Hospital,Hospital,RAIPUR,21.244933,81.605817,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7148125308,Government Hospital,Hospital,RAIPUR,21.2300217,81.6598785,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7148125312,Labhandhi Government Hospital,Hospital,RAIPUR,21.244877,81.703673,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
