SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
89,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,07-01-2026 17:00,0.5
90,Shankargarh,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,SHANKARGARH,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.30142,83.60604,23-02-2026 18:00,0.5
91,Shardapur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,WADRAFNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.83238,83.30709,02-01-2026 15:00,0.5
92,Shardapur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,WADRAFNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.83238,83.30709,03-01-2026 08:00,0.5
93,Shardapur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,WADRAFNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.83238,83.30709,26-01-2026 16:00,0.5
94,Shardapur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,WADRAFNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.83238,83.30709,23-02-2026 17:00,4.5
95,Silphili,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,SURAJPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.17812,83.0628,24-02-2026 05:00,0.5
96,Sondur,Chhattisgarh SW,22,Chhattisgarh,387,RAIPUR,DEOBHOG,-,-,Mahanadi,Mahanadi,Pairi,Pairi,Pairi,Sondur,20.23333333,82.1,05-02-2026 14:00,1.0
97,Sukha Nalla Barr,Chhattisgarh SW,22,Chhattisgarh,388,RAJNANDGAON,DONGARGAON,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.99722222,80.79,06-01-2026 11:00,0.5
98,Surdongar,Chhattisgarh SW,22,Chhattisgarh,374,BASTAR,KESHKAL,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.09889,81.59064,04-02-2026 15:00,0.5
99,Talora,Chhattisgarh SW,22,Chhattisgarh,380,JASHPUR,MANORA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.05493,83.98704,27-01-2026 14:00,1.5
100,Talora,Chhattisgarh SW,22,Chhattisgarh,380,JASHPUR,MANORA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.05493,83.98704,27-01-2026 17:00,0.5
101,Talora,Chhattisgarh SW,22,Chhattisgarh,380,JASHPUR,MANORA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.05493,83.98704,23-02-2026 19:00,0.5
102,Tirathgarh,Chhattisgarh SW,22,Chhattisgarh,376,DANTEWADA,DANTEWADA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,18.9099,81.85448,09-02-2026 04:00,2.0
103,Tirathgarh,Chhattisgarh SW,22,Chhattisgarh,376,DANTEWADA,DANTEWADA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,18.9099,81.85448,23-02-2026 21:00,0.5
104,Turripanni,Chhattisgarh SW,22,Chhattisgarh,384,KORIYA,SONHAT,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.63276,82.44992,03-02-2026 16:00,15.0
105,Uraba,Chhattisgarh SW,22,Chhattisgarh,386,RAIGARH,TAMNAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.21469,83.53974,06-01-2026 16:00,0.5
