SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Air Temperature Telemetry Hourly (ºC)
3886,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 05:00,15
3887,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 06:00,14.2
3888,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 07:00,14.1
3889,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 08:00,16.7
3890,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 09:00,20.9
3891,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 10:00,25.2
3892,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 11:00,28.4
3893,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 12:00,29.3
3894,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 13:00,29.6
3895,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 14:00,30.3
3896,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 15:00,30.8
3897,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 16:00,29.5
3898,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 17:00,29.1
3899,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 18:00,24.4
3900,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 19:00,20.7
3901,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 20:00,19.2
3902,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 21:00,17.6
3903,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 22:00,16.9
3904,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,31-01-2026 23:00,16.6
3905,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 00:00,15.9
3906,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 01:00,15.4
3907,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 02:00,14.3
3908,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 03:00,13.7
3909,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 04:00,13.9
3910,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 05:00,12.9
3911,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 08:00,15.5
3912,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 09:00,20.1
3913,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 10:00,24
3914,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 11:00,27.3
3915,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 12:00,28.4
3916,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 13:00,29.5
3917,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 14:00,29.8
3918,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 15:00,30.2
3919,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 16:00,29.8
3920,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 17:00,28.1
3921,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 18:00,24.4
3922,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 19:00,21.2
3923,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 20:00,19.6
3924,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 21:00,18.5
3925,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 22:00,18.5
3926,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,01-02-2026 23:00,17.4
3927,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 00:00,15.6
3928,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 01:00,15.6
3929,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 02:00,15.7
3930,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 03:00,14.8
3931,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 04:00,14.2
3932,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 05:00,13.7
3933,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 06:00,13.3
3934,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 07:00,13
3935,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 08:00,15.3
3936,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 09:00,20.4
3937,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 10:00,23.6
3938,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 11:00,28
3939,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 12:00,29.1
3940,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 13:00,30.1
3941,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 14:00,30.4
3942,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 15:00,30
3943,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 16:00,29.5
3944,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 17:00,28
3945,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 18:00,24.7
3946,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 19:00,22.1
3947,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 20:00,20.4
3948,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 21:00,18.8
3949,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 22:00,17.5
3950,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,02-02-2026 23:00,16.4
3951,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 00:00,16.7
3952,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 01:00,15.6
3953,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 02:00,15.5
3954,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 03:00,14.9
3955,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 04:00,14.1
3956,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 05:00,13.7
3957,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 08:00,16.1
3958,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 09:00,20.4
3959,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 10:00,24.9
3960,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 11:00,27.4
3961,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 12:00,29.4
3962,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 13:00,30
3963,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 14:00,30.1
3964,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 15:00,30.4
3965,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 16:00,29.8
3966,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 17:00,28.7
3967,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 18:00,24.4
3968,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 19:00,20.8
3969,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 20:00,19.9
3970,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 21:00,18.5
3971,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 22:00,18
3972,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,03-02-2026 23:00,17.4
3973,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 00:00,16.3
3974,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 01:00,15.4
3975,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 02:00,14.5
3976,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 03:00,14.7
3977,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 04:00,13.3
3978,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 05:00,13.3
3979,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 06:00,13.2
3980,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 07:00,13.1
3981,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 08:00,15.6
3982,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 09:00,20.6
3983,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 10:00,24.7
3984,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 11:00,26.7
3985,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 12:00,28.7
3986,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 13:00,29.5
3987,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 14:00,30.4
3988,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 15:00,30.5
3989,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 16:00,29.8
3990,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 17:00,28
3991,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 18:00,25.2
3992,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 19:00,22.3
3993,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 20:00,20.5
3994,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 21:00,19.3
3995,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 22:00,18.6
3996,Mahanadi_ Sarangpal,Chhattisgarh SW,22,Chhattisgarh,381,KANKER,KANKER,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.29694444,81.53861111,04-02-2026 23:00,18
