facility_id,facility_name,facility_type,district,latitude,longitude,crs,risk_level,pred_outage_prob_7d,pred_human_impact_prob_7d,priority_score_7d,predicted_risk_label_7d
node/6957120062,Subba Rao Hospital,Hospital,RAIPUR,21.2570692,81.6373428,0.4781826078822488,Medium,0.07176193371902186,0.33846917446829106,0.15339387791216766,Low
node/6957120057,Subham Hospital and Maternity Home,Hospital,RAIPUR,21.2599874,81.6282919,0.4781826078822488,Medium,0.0716010928076427,0.33846917446829106,0.15311876096745594,Low
node/6965497719,"Tripathi Hospital, Raipur",Hospital,RAIPUR,21.2495084,81.6579813,0.4781826078822488,Medium,0.0716010928076427,0.33846917446829106,0.15277647762983548,Low
node/6965497724,Jeewan Memorial Hospital For Plastic Surgery and Uro,Hospital,RAIPUR,21.2496099,81.6580936,0.4781826078822488,Medium,0.07149405500751767,0.33846917446829106,0.15264900736451364,Low
node/6965497734,Roopjeevan Hospital,Hospital,RAIPUR,21.2567003,81.6410096,0.4781826078822488,Medium,0.0711411242163583,0.33846917446829106,0.15245200392632416,Low
node/6965497744,"Jain Hospital, Raipur",Hospital,RAIPUR,21.2559026,81.6448666,0.4781826078822488,Medium,0.0709802529082975,0.33846917446829106,0.15224994279535461,Low
node/6965497739,Jubesta Hospital,Hospital,RAIPUR,21.257246,81.6435068,0.4781826078822488,Medium,0.07095775226998574,0.33846917446829106,0.15211848720545468,Low
node/6956629976,Vidya Hospital And Kidney Centre,Hospital,RAIPUR,21.2491409,81.6617082,0.4781826078822488,Medium,0.07095775226998574,0.33846917446829106,0.15208726941761205,Low
node/6956627660,Sai Baba Eye Hospital,Hospital,RAIPUR,21.2595225,81.6370104,0.4781826078822488,Medium,0.07095775226998574,0.33846917446829106,0.15196097764999586,Low
node/7291844275,Shri Mahaveer Hospital,Hospital,RAIPUR,21.25007,81.6625026,0.4781826078822488,Medium,0.07093386404468405,0.33846917446829106,0.15191902411248215,Low
node/6965836197,M. M. Hospital,Hospital,RAIPUR,21.2605318,81.6367264,0.4781826078822488,Medium,0.07093386404468405,0.33846917446829106,0.15183203039864795,Low
node/6965497749,Dr. Rajehwari Kulkarni Surgical Hospital And Dia,Hospital,RAIPUR,21.2573909,81.6466855,0.4781826078822488,Medium,0.07047793591563405,0.33846917446829106,0.15158183489744312,Low
node/6965836211,Mishra Speciality Hospital,Hospital,RAIPUR,21.2615844,81.6380407,0.4781826078822488,Medium,0.070244896442369,0.33846917446829106,0.15141257833679989,Low
node/6965834177,"Heritage Hospital, Raipur",Hospital,RAIPUR,21.2604399,81.6429824,0.4781826078822488,Medium,0.07020176559291699,0.33846917446829106,0.15139488181568342,Low
node/4445129008,Vardaan Hospital (Unit Of Jindal Medicare),Hospital,RAIPUR,21.2520112,81.6632415,0.4781826078822488,Medium,0.0700407733079874,0.33846917446829106,0.15130617818692638,Low
node/6965836216,Matra Smriti Hospital,Hospital,RAIPUR,21.2686163,81.6197897,0.4781826078822488,Medium,0.06997539188743195,0.33846917446829106,0.1512971328956183,Low
node/7291844314,Sagar Multi Speciality Hospital,Hospital,RAIPUR,21.249743,81.667901,0.4781826078822488,Medium,0.0700407733079874,0.33846917446829106,0.1512890422275832,Low
node/6965834156,Devkripa Hospital and Doctor Plaza,Hospital,RAIPUR,21.2510058,81.6685317,0.4781826078822488,Medium,0.06993322673858485,0.33846917446829106,0.15128448335096417,Low
node/6956627655,Sai Kalayan Hospital And Icu,Hospital,RAIPUR,21.2499934,81.6684566,0.4781826078822488,Medium,0.0700407733079874,0.33846917446829106,0.1512772485533055,Low
node/6968280740,"Kanwar Hospital, Raipur",Hospital,RAIPUR,21.2532719,81.6651843,0.4781826078822488,Medium,0.06992869232698103,0.33846917446829106,0.15125797032446373,Low
node/6957503647,"Pathak Hospital, Raipur",Hospital,RAIPUR,21.264633,81.6358182,0.4781826078822488,Medium,0.06995713659602738,0.33846917446829106,0.15125191516585734,Low
node/6957120034,Urmila Memorial Multispeciality Hospital,Hospital,RAIPUR,21.2582818,81.6553302,0.4781826078822488,Medium,0.06992869232698103,0.33846917446829106,0.15125146372357687,Low
node/6956629791,Prannath Mission Hospital,Hospital,RAIPUR,21.2647055,81.6395652,0.4781826078822488,Medium,0.06904005449658228,0.33846917446829106,0.1507844551371672,Low
node/4445382462,Ryan International School,School,RAIPUR,21.2474275,81.6883917,0.4781826078822488,Medium,0.06896418672265157,0.33846917446829106,0.1507808962835092,Low
node/4445182024,Holy cross senior secondary school,School,RAIPUR,21.2617556,81.6602541,0.4781826078822488,Medium,0.06896418672265157,0.33846917446829106,0.1507808962835092,Low
node/6957120077,Sobhagya Hospital,Hospital,RAIPUR,21.2740474,81.6335745,0.4781826078822488,Medium,0.06896418672265157,0.33846917446829106,0.1507808962835092,Low
node/4445258453,MGM school,School,RAIPUR,21.2515714,81.6704839,0.4781826078822488,Medium,0.06896418672265157,0.33846917446829106,0.150761694804988,Low
node/4711002386,Mittal Hospital,Hospital,RAIPUR,21.260362,81.6587146,0.4781826078822488,Medium,0.06896418672265157,0.33846917446829106,0.150761694804988,Low
node/6957133287,Shri Balaji Institute Of Medical Science Pvt Ltd,Hospital,RAIPUR,21.2724251,81.6717492,0.4781826078822488,Medium,0.06896418672265157,0.33846917446829106,0.15074735270651518,Low
node/6956655152,Sarvodaya Hospital and Maternity Center,Hospital,RAIPUR,21.2715555,81.6710436,0.4781826078822488,Medium,0.06896418672265157,0.33846917446829106,0.15074735270651518,Low
node/7148125312,Labhandhi Government Hospital,Hospital,RAIPUR,21.244877,81.703673,0.4781826078822488,Medium,0.06896418672265157,0.33846917446829106,0.15074735270651518,Low
node/7736593775,Shri Venkatesh School,School,RAIPUR,21.2783652,81.6748896,0.4781826078822488,Medium,0.06896418672265157,0.33846917446829106,0.15074735270651518,Low
node/6965497689,P D Jethani Memorial Hospital and Diagnostic Center,Hospital,RAIPUR,21.2789978,81.6376406,0.4781826078822488,Medium,0.06896418672265157,0.33846917446829106,0.15074735270651518,Low
node/6956627645,"Samarpan Hospital, Raipur",Hospital,RAIPUR,21.2650092,81.6679336,0.4781826078822488,Medium,0.06896418672265157,0.33846917446829106,0.15074601501968457,Low
node/6965834116,Ayush Hospital and Maternity Home,Hospital,RAIPUR,21.2623121,81.6739498,0.4781826078822488,Medium,0.06896418672265157,0.33846917446829106,0.15074601501968457,Low
node/7148125143,"Government Hospital, Tilda",Hospital,RAIPUR,21.5498742,81.7969593,0.3943011502265597,High,0.06216213902498702,0.33846917446829106,0.14368171208359842,Low
node/7148125257,Goverment hospital Gobra Nawapara,Hospital,RAIPUR,20.9675515,81.8588705,0.375,High,0.06721934395397222,0.33846917446829106,0.14101656595157783,Low
node/6965834182,Jyoti Hospital and Prasuti Griha,Hospital,RAIPUR,21.5563958,81.8090755,0.3943011502265597,High,0.06161660507033765,0.33846917446829106,0.14013128007722442,Low
node/6966792004,Evangelical Mission Hospital,Hospital,RAIPUR,21.5540159,81.7903335,0.3943011502265597,High,0.05885534622358424,0.33846917446829106,0.1342802244009535,Low
node/7148125120,Government Hospital Uparwara,Hospital,RAIPUR,21.117467,81.764341,0.4519539567843054,Medium,0.059565711902877884,0.33846917446829106,0.13402477995461667,Low
node/6956627669,Raipur Institute Of Medical Sciences Hospital,Hospital,RAIPUR,21.2419875,81.8368053,0.375,High,0.0585111241396665,0.33846917446829106,0.13358769502368925,Low
node/6966522779,Mgm Eye Hospital,Hospital,RAIPUR,21.2783101,81.7026642,0.4012286510979435,Medium,0.05791887607372722,0.33846917446829106,0.1321254039404211,Low
node/4445255005,Bharatiya vidya bhuvans R.K. sarda vidya mandir,School,RAIPUR,21.2885051,81.7017642,0.4012286510979435,Medium,0.05792537587613405,0.33846917446829106,0.13211913512250537,Low
node/12276858430,"Campion School, Raipur",School,RAIPUR,21.2878259,81.7170313,0.375,High,0.05552782196524867,0.33846917446829106,0.13031357652858933,Low
