facility_id,facility_name,facility_type,district,latitude,longitude,crs,risk_level,pred_outage_prob_24h,pred_human_impact_prob_24h,priority_score_24h,predicted_risk_label_24h
node/6950645749,Chhattisgarh Eye Hospital,Hospital,RAIPUR,21.2392112,81.6621937,0.4781826078822488,Medium,0.02100325541482748,0.0001612361841772026,0.12866614672421478,Low
node/4445158557,Bharat Mata higher secondary school,School,RAIPUR,21.2604534,81.5742895,0.4781826078822488,Medium,0.020992822042599227,0.0001612361841772026,0.12862392141480528,Low
node/4445113471,Suyash Superspeciality Hospital,Hospital,RAIPUR,21.2584938,81.6060273,0.4781826078822488,Medium,0.020992822042599227,0.0001612361841772026,0.12760283209790557,Low
node/6950645744,Karma Hospital,Hospital,RAIPUR,21.2401756,81.6622585,0.4781826078822488,Medium,0.020992815960488284,0.0001612361841772026,0.11412308761971193,Low
node/7291844281,Lotus Hospital & Advance Urology Center,Hospital,RAIPUR,21.2468938,81.6485864,0.4781826078822488,Medium,0.020992815960488284,0.0001612361841772026,0.11329001978862535,Low
node/6965497729,Om Netra Kendra,Hospital,RAIPUR,21.2487035,81.6448975,0.4781826078822488,Medium,0.020992815960488284,0.0001612361841772026,0.10996029859151095,Low
node/6965834166,Dr. Sandeep Bhagwat Orthopedic Hospital,Hospital,RAIPUR,21.2491114,81.6453123,0.4781826078822488,Medium,0.020984531426815698,0.0001612361841772026,0.08084993993959605,Low
node/6968263373,Pt.J N M Medical College Hospital,Hospital,RAIPUR,21.251975,81.6391427,0.4781826078822488,Medium,0.020984531426815698,0.0001612361841772026,0.08026495684850657,Low
node/6965834176,Eye and Ent Hospital,Hospital,RAIPUR,21.2495993,81.6461378,0.4781826078822488,Medium,0.020984531426815698,0.0001612361841772026,0.07925831896303705,Low
node/6957120039,"Upadhyay Hospital, Raipur",Hospital,RAIPUR,21.2625908,81.5873668,0.4781826078822488,Medium,0.0209832557842257,0.0001612361841772026,0.07715335363409803,Low
node/7291844299,Chand Rani Sardari Lal Speciality EYE And ENT Hospital,Hospital,RAIPUR,21.2463682,81.6546202,0.4781826078822488,Medium,0.0209766120355693,0.00016125065080308204,0.07165947794299647,Low
node/6965495384,"Pragya Hospital, Raipur",Hospital,RAIPUR,21.2443828,81.6601836,0.4781826078822488,Medium,0.020968813638251385,0.00016125065080308204,0.06997219144172606,Low
node/6956655140,Shree Sai Care Hospital,Hospital,RAIPUR,21.2398899,81.6698393,0.4781826078822488,Medium,0.020965775121606082,0.00016125065080308204,0.06539441420292168,Low
node/7288964602,Madhumeet Hospital,Hospital,RAIPUR,21.2401655,81.6698864,0.4781826078822488,Medium,0.020949634194049428,0.00016125065080308204,0.06305665231426066,Low
node/6965497759,Ekta Institute Of Child Health,Hospital,RAIPUR,21.2471211,81.6566214,0.4781826078822488,Medium,0.02093261259153233,0.00016125065080308204,0.060971524654860595,Low
node/6965497699,Nigam Ent Hospital,Hospital,RAIPUR,21.2472973,81.6568963,0.4781826078822488,Medium,0.020930429951993613,0.00016125065080308204,0.058606620233504006,Low
node/7288964658,Avanti Hospital,Hospital,RAIPUR,21.2408235,81.6696319,0.4781826078822488,Medium,0.02092459343114789,0.00016125065080308204,0.057314340214636966,Low
node/6966904930,"Sahu Hospital, Raipur",Hospital,RAIPUR,21.2554704,81.6406797,0.4781826078822488,Medium,0.020915511004599336,0.00016125065080308204,0.053796418197164034,Low
node/6966551463,Suprita Hospital,Hospital,RAIPUR,21.2564347,81.6388497,0.4781826078822488,Medium,0.020914447909085213,0.00016125065080308204,0.05020692948597141,Low
node/6957120062,Subba Rao Hospital,Hospital,RAIPUR,21.2570692,81.6373428,0.4781826078822488,Medium,0.020914144402088344,0.00016125065080308204,0.04725994491641412,Low
node/6957120057,Subham Hospital and Maternity Home,Hospital,RAIPUR,21.2599874,81.6282919,0.4781826078822488,Medium,0.020911771985372477,0.00016125065080308204,0.0420207441681535,Low
node/6965497719,"Tripathi Hospital, Raipur",Hospital,RAIPUR,21.2495084,81.6579813,0.4781826078822488,Medium,0.02091091874370307,0.00016125065078818025,0.0385167962931454,Low
node/6965497724,Jeewan Memorial Hospital For Plastic Surgery and Uro,Hospital,RAIPUR,21.2496099,81.6580936,0.4781826078822488,Medium,0.02090604852122968,0.00016125065078818025,0.037739849129523564,Low
