facility_id,facility_name,facility_type,district,latitude,longitude,crs,risk_level,flood_risk_prob,water_shortage_risk_prob,power_outage_risk_prob,sanitation_failure_risk_prob,human_impact_risk_prob,flood_risk_label,water_shortage_risk_label,power_outage_risk_label,sanitation_failure_risk_label,human_impact_risk_label,top_risk_type,top_risk_score,alert_flag,alert_level
node/6965834121,Ayushman Hospital and Diagnostic Institute,Hospital,RAIPUR,21.2345823,81.6097793,0.4781826078822488,Medium,0.9618221576946366,0.014083082995186841,0.07970309058339319,0.9236787035381196,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9618221576946366,True,Critical
node/6965834122,Bachpan Hospital,Hospital,RAIPUR,21.2293683,81.6000053,0.4781826078822488,Medium,0.961221917865097,0.014083082995186841,0.0556005631241503,0.9231942539489992,0.00016068292946418532,High,Low,Low,High,Low,flood,0.961221917865097,True,Critical
node/6965834136,Bhattar Hospital,Hospital,RAIPUR,21.242349,81.6395467,0.4781826078822488,Medium,0.961221917865097,0.014083082995186841,0.03966868655207931,0.9226954127105768,0.00016068292946418532,High,Low,Low,High,Low,flood,0.961221917865097,True,Critical
node/6965834146,City Hospital And Research Centre,Hospital,RAIPUR,21.2465523,81.6100636,0.4781826078822488,Medium,0.959993917966163,0.014083082995186841,0.03495612796515502,0.9214334329211482,0.00016068292946418532,High,Low,Low,High,Low,flood,0.959993917966163,True,Critical
node/6965834156,Devkripa Hospital and Doctor Plaza,Hospital,RAIPUR,21.2510058,81.6685317,0.4781826078822488,Medium,0.959993917966163,0.014083082995186841,0.03495596984444646,0.921415250993476,0.00016068292946418532,High,Low,Low,High,Low,flood,0.959993917966163,True,Critical
node/6965834161,Dr. Jaulkar Ent Hospital,Hospital,RAIPUR,21.2471581,81.6123417,0.4781826078822488,Medium,0.95934896491082,0.014083082995186841,0.03213888051070385,0.9207429269073154,0.00016068292946418532,High,Low,Low,High,Low,flood,0.95934896491082,True,Critical
node/6965834166,Dr. Sandeep Bhagwat Orthopedic Hospital,Hospital,RAIPUR,21.2491114,81.6453123,0.4781826078822488,Medium,0.9565258564093381,0.014083082995186841,0.02626821562921187,0.9201583988543853,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9565258564093381,True,Critical
node/6965834176,Eye and Ent Hospital,Hospital,RAIPUR,21.2495993,81.6461378,0.4781826078822488,Medium,0.9528947636909729,0.014083082995186841,0.024990251247857326,0.9200704876322096,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9528947636909729,True,Critical
node/6965834177,"Heritage Hospital, Raipur",Hospital,RAIPUR,21.2604399,81.6429824,0.4781826078822488,Medium,0.9484935100474248,0.014083082995186841,0.024693349378147406,0.9197990629188277,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9484935100474248,True,Critical
node/6965834182,Jyoti Hospital and Prasuti Griha,Hospital,RAIPUR,21.5563958,81.8090755,0.3943011502265597,High,0.9455613884670707,0.014083082995186841,0.024157196008492796,0.9197020196506966,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9455613884670707,True,Critical
node/6965836187,K G N Surical and Maternity Centre,Hospital,RAIPUR,21.2342586,81.645458,0.4781826078822488,Medium,0.9432383209145856,0.014083082995186841,0.024157196008492796,0.9190897111546091,0.00016068292946167225,High,Low,Low,High,Low,flood,0.9432383209145856,True,Critical
node/6965836192,K.M. Hospital,Hospital,RAIPUR,21.2438524,81.6384199,0.4781826078822488,Medium,0.9298062721113872,0.014083082995186841,0.023260150004165796,0.9181722337986274,0.00016068292946167225,High,Low,Low,High,Low,flood,0.9298062721113872,True,Critical
